,hashtags,symbols,user_mentions,urls,id,id_str,indices,media_url,media_url_https,url,display_url,expanded_url,type,sizes.thumb.w,sizes.thumb.h,sizes.thumb.resize,sizes.medium.w,sizes.medium.h,sizes.medium.resize,sizes.small.w,sizes.small.h,sizes.small.resize,sizes.large.w,sizes.large.h,sizes.large.resize,tweet_id
14,BarkWeek,[],,,889531127467266049,889531127467266049,"[119, 142]",http://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,https://t.co/y70o6h3isq,pic.twitter.com/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,889531135344209921
15,BarkWeek,[],,,889278779352338437,889278779352338437,"[139, 162]",http://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,https://t.co/WpHvrQedPb,pic.twitter.com/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,photo,150,150,crop,320,568,fit,320,568,fit,320,568,fit,889278841981685760
16,,[],,,888917229776945152,888917229776945152,"[87, 110]",http://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,https://t.co/chxruIOUJN,pic.twitter.com/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,888917238123831296
17,,[],,,888804981515575296,888804981515575296,"[129, 152]",http://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,https://t.co/HTQ77yNQ5K,pic.twitter.com/HTQ77yNQ5K,https://twitter.com/dog_rates/status/888804989199671297/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,888804989199671297
18,,[],,,888554915546542081,888554915546542081,"[88, 111]",http://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg,https://pbs.twimg.com/media/DFTH_OiUMAE-k4M.jpg,https://t.co/YnYAFCTTiK,pic.twitter.com/YnYAFCTTiK,https://twitter.com/dog_rates/status/888554962724278272/photo/1,photo,150,150,crop,1200,762,fit,680,432,fit,1600,1016,fit,888554962724278272
19,,[],,,888078426338406400,888078426338406400,"[128, 151]",http://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,https://t.co/DK7iDPfuRX,pic.twitter.com/DK7iDPfuRX,https://twitter.com/dog_rates/status/888078434458587136/photo/1,photo,150,150,crop,964,1200,fit,546,680,fit,1285,1600,fit,888078434458587136
20,,[],,,887705281597243393,887705281597243393,"[128, 151]",http://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,https://t.co/PhrUk20Q64,pic.twitter.com/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,photo,150,150,crop,1200,675,fit,680,383,fit,1600,900,fit,887705289381826560
21,,[],,,887517108413886465,887517108413886465,"[109, 132]",http://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,https://t.co/20VrLAA8ba,pic.twitter.com/20VrLAA8ba,https://twitter.com/dog_rates/status/887517139158093824/video/1,photo,150,150,crop,480,480,fit,480,480,fit,480,480,fit,887517139158093824
22,,[],,,887473949361045505,887473949361045505,"[100, 123]",http://pbs.twimg.com/media/DFDw2tsUAAEw7XW.jpg,https://pbs.twimg.com/media/DFDw2tsUAAEw7XW.jpg,https://t.co/cLyzpcUcMX,pic.twitter.com/cLyzpcUcMX,https://twitter.com/dog_rates/status/887473957103951883/photo/1,photo,150,150,crop,715,1200,fit,405,680,fit,900,1510,fit,887473957103951883
23,,[],,,887343120832229379,887343120832229379,"[89, 112]",http://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,https://t.co/WZqNqygEyV,pic.twitter.com/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,photo,150,150,crop,1200,675,fit,680,383,fit,1280,720,fit,887343217045368832
24,,[],,,887101385971384320,887101385971384320,"[130, 153]",http://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,https://t.co/4Ad1jzJSdp,pic.twitter.com/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,photo,150,150,crop,1200,1194,fit,680,677,fit,1590,1582,fit,887101392804085760
25,,[],,,886983218871902208,886983218871902208,"[102, 125]",http://pbs.twimg.com/media/DE8yicKXoAAnSF8.jpg,https://pbs.twimg.com/media/DE8yicKXoAAnSF8.jpg,https://t.co/I6oNy0CgiT,pic.twitter.com/I6oNy0CgiT,https://twitter.com/dog_rates/status/886983233522544640/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,886983233522544640
26,,[],,https://www.gofundme.com/mingusneedsus,886736868116754432,886736868116754432,"[122, 145]",http://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,https://t.co/ISvKOSkd5b,pic.twitter.com/ISvKOSkd5b,https://twitter.com/dog_rates/status/886736880519319552/photo/1,photo,150,150,crop,800,533,fit,680,453,fit,800,533,fit,886736880519319552
27,,[],,,886680331239161856,886680331239161856,"[72, 95]",http://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,https://t.co/BCoWue0abA,pic.twitter.com/BCoWue0abA,https://twitter.com/dog_rates/status/886680336477933568/photo/1,photo,150,150,crop,676,1200,fit,383,680,fit,901,1600,fit,886680336477933568
28,,[],,,886366138128449536,886366138128449536,"[132, 155]",http://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,https://t.co/RGE08MIJox,pic.twitter.com/RGE08MIJox,https://twitter.com/dog_rates/status/886366144734445568/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,886366144734445568
29,,[],,,886258377298292737,886258377298292737,"[95, 118]",http://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,https://t.co/xZDA9Qsq1O,pic.twitter.com/xZDA9Qsq1O,https://twitter.com/dog_rates/status/886258384151887873/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,886258384151887873
30,,[],,,885984792034004992,885984792034004992,"[141, 164]",http://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,https://t.co/BuveP0uMF1,pic.twitter.com/BuveP0uMF1,https://twitter.com/dog_rates/status/885984800019947520/photo/1,photo,150,150,crop,1200,1183,fit,680,670,fit,1200,1183,fit,885984800019947520
31,,[],,,885528931826368512,885528931826368512,"[110, 133]",http://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,https://t.co/tp1kQ8i9JF,pic.twitter.com/tp1kQ8i9JF,https://twitter.com/dog_rates/status/885528943205470208/photo/1,photo,150,150,crop,1138,1117,fit,680,667,fit,1138,1117,fit,885528943205470208
32,,[],,,885167573385588737,885167573385588737,"[135, 158]",http://pbs.twimg.com/media/DEi_N9pXsAERvps.jpg,https://pbs.twimg.com/media/DEi_N9pXsAERvps.jpg,https://t.co/44ItaMubBf,pic.twitter.com/44ItaMubBf,https://twitter.com/dog_rates/status/885167619883638784/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,885167619883638784
33,,[],,,884925516695965696,884925516695965696,"[94, 117]",http://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,https://t.co/MYJvdlNRVa,pic.twitter.com/MYJvdlNRVa,https://twitter.com/dog_rates/status/884925521741709313/photo/1,photo,150,150,crop,900,1200,fit,510,680,fit,960,1280,fit,884925521741709313
34,,[],,,884876742820859904,884876742820859904,"[119, 142]",http://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,https://t.co/74TKAUsLkO,pic.twitter.com/74TKAUsLkO,https://twitter.com/dog_rates/status/884876753390489601/photo/1,photo,150,150,crop,1107,1200,fit,627,680,fit,1234,1338,fit,884876753390489601
35,,[],,,884562886777065473,884562886777065473,"[67, 90]",http://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,https://t.co/1r4MFCbCX5,pic.twitter.com/1r4MFCbCX5,https://twitter.com/dog_rates/status/884562892145688576/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,884562892145688576
36,,[],,,884441800177528832,884441800177528832,"[137, 160]",http://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,https://t.co/vvBOcC2VdC,pic.twitter.com/vvBOcC2VdC,https://twitter.com/dog_rates/status/884441805382717440/photo/1,photo,150,150,crop,1200,1172,fit,680,664,fit,1600,1562,fit,884441805382717440
37,,[],,,884162662212489221,884162662212489221,"[141, 164]",http://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,https://t.co/YSI00BzTBZ,pic.twitter.com/YSI00BzTBZ,https://twitter.com/dog_rates/status/884162670584377345/photo/1,photo,150,150,crop,1200,1078,fit,680,611,fit,1278,1148,fit,884162670584377345
38,,[],,,883838118432034816,883838118432034816,"[138, 161]",http://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,https://t.co/V85xujjDDY,pic.twitter.com/V85xujjDDY,https://twitter.com/dog_rates/status/883838122936631299/photo/1,photo,150,150,crop,981,1200,fit,556,680,fit,1175,1438,fit,883838122936631299
39,,[],,,883482838036860928,883482838036860928,"[113, 136]",http://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,https://t.co/qjrljjt948,pic.twitter.com/qjrljjt948,https://twitter.com/dog_rates/status/883482846933004288/photo/1,photo,150,150,crop,1006,1200,fit,570,680,fit,1341,1600,fit,883482846933004288
40,,[],,,883360682745503744,883360682745503744,"[140, 163]",http://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,https://t.co/rf661IFEYP,pic.twitter.com/rf661IFEYP,https://twitter.com/dog_rates/status/883360690899218434/photo/1,photo,150,150,crop,960,1200,fit,544,680,fit,1280,1600,fit,883360690899218434
41,,[],,,883117826525024257,883117826525024257,"[112, 135]",http://pbs.twimg.com/media/DEF2-_jW0AEAS94.jpg,https://pbs.twimg.com/media/DEF2-_jW0AEAS94.jpg,https://t.co/Se5fZ9wp5E,pic.twitter.com/Se5fZ9wp5E,https://twitter.com/dog_rates/status/883117836046086144/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,883117836046086144
42,,[],,,882992072327913472,882992072327913472,"[109, 132]",http://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,https://t.co/tyER0KpdXj,pic.twitter.com/tyER0KpdXj,https://twitter.com/dog_rates/status/882992080364220416/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,882992080364220416
43,,[],,,882762686299353088,882762686299353088,"[115, 138]",http://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,https://t.co/D43I96SlVu,pic.twitter.com/D43I96SlVu,https://twitter.com/dog_rates/status/882762694511734784/photo/1,photo,150,150,crop,932,1200,fit,528,680,fit,1009,1299,fit,882762694511734784
44,,[],,,882627261886758912,882627261886758912,"[137, 160]",http://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,https://t.co/Nx52PGwH94,pic.twitter.com/Nx52PGwH94,https://twitter.com/dog_rates/status/882627270321602560/photo/1,photo,150,150,crop,899,1116,fit,548,680,fit,899,1116,fit,882627270321602560
45,,[],,,882268100984492032,882268100984492032,"[115, 138]",http://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,https://t.co/fYP5RlutfA,pic.twitter.com/fYP5RlutfA,https://twitter.com/dog_rates/status/882268110199369728/photo/1,photo,150,150,crop,900,1200,fit,510,680,fit,1200,1600,fit,882268110199369728
46,,[],,,882045864507736065,882045864507736065,"[134, 157]",http://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,https://t.co/zeDpnsKX7w,pic.twitter.com/zeDpnsKX7w,https://twitter.com/dog_rates/status/882045870035918850/photo/1,photo,150,150,crop,749,1017,fit,501,680,fit,749,1017,fit,882045870035918850
47,,[],,,881906570426281984,881906570426281984,"[68, 91]",http://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,https://t.co/503CgWbhxQ,pic.twitter.com/503CgWbhxQ,https://twitter.com/dog_rates/status/881906580714921986/photo/1,photo,150,150,crop,576,1024,fit,383,680,fit,576,1024,fit,881906580714921986
48,,[],,,881666587375304705,881666587375304705,"[116, 139]",http://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,https://t.co/7CSWCl8I6s,pic.twitter.com/7CSWCl8I6s,https://twitter.com/dog_rates/status/881666595344535552/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,881666595344535552
49,,[],,,881535971568889856,881535971568889856,"[131, 154]",http://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,https://t.co/ghXBIIeQZF,pic.twitter.com/ghXBIIeQZF,https://twitter.com/dog_rates/status/881536004380872706/video/1,photo,150,150,crop,480,480,fit,480,480,fit,480,480,fit,881536004380872706
50,Canada150,[],,,881268439486169090,881268439486169090,"[139, 162]",http://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,https://t.co/cgwJwowTMC,pic.twitter.com/cgwJwowTMC,https://twitter.com/dog_rates/status/881268444196462592/photo/1,photo,150,150,crop,900,612,fit,680,462,fit,900,612,fit,881268444196462592
51,,[],,,880935758152028161,880935758152028161,"[73, 96]",http://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,https://t.co/D0wb1GlKAt,pic.twitter.com/D0wb1GlKAt,https://twitter.com/dog_rates/status/880935762899988482/photo/1,photo,150,150,crop,540,1041,fit,353,680,fit,540,1041,fit,880935762899988482
52,,[],,,880872431472267264,880872431472267264,"[138, 161]",http://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,https://t.co/WiAMbTkDPf,pic.twitter.com/WiAMbTkDPf,https://twitter.com/dog_rates/status/880872448815771648/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,880872448815771648
53,,[],,,880465790071427074,880465790071427074,"[115, 138]",http://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,https://t.co/4VsFysDmiw,pic.twitter.com/4VsFysDmiw,https://twitter.com/dog_rates/status/880465832366813184/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,880465832366813184
54,,[],,,880221119067770882,880221119067770882,"[109, 132]",http://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,https://t.co/fUod0tVmvK,pic.twitter.com/fUod0tVmvK,https://twitter.com/dog_rates/status/880221127280381952/photo/1,photo,150,150,crop,768,1024,fit,510,680,fit,768,1024,fit,880221127280381952
55,,[],porch_rates,,880095777175076864,880095777175076864,"[130, 153]",http://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,https://t.co/HauE8M3Bu4,pic.twitter.com/HauE8M3Bu4,https://twitter.com/dog_rates/status/880095782870896641/photo/1,photo,150,150,crop,833,1200,fit,472,680,fit,1110,1600,fit,880095782870896641
56,,[],,,879862459263307776,879862459263307776,"[92, 115]",http://pbs.twimg.com/media/DDXmPreXUAA3QGJ.jpg,https://pbs.twimg.com/media/DDXmPreXUAA3QGJ.jpg,https://t.co/Qh5aEkRQm9,pic.twitter.com/Qh5aEkRQm9,https://twitter.com/dog_rates/status/879862464715927552/photo/1,photo,150,150,crop,1200,901,fit,680,510,fit,1600,1201,fit,879862464715927552
57,,[],,,879492035853660161,879492035853660161,"[91, 114]",http://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,https://t.co/IxM9IMKQq8,pic.twitter.com/IxM9IMKQq8,https://twitter.com/dog_rates/status/879492040517615616/photo/1,photo,150,150,crop,959,1200,fit,544,680,fit,1279,1600,fit,879492040517615616
58,,[],,,879415784908390401,879415784908390401,"[83, 106]",http://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,https://t.co/UDT7ZkcTgY,pic.twitter.com/UDT7ZkcTgY,https://twitter.com/dog_rates/status/879415818425184262/video/1,photo,150,150,crop,718,404,fit,680,383,fit,718,404,fit,879415818425184262
59,,[],,,879376482266632192,879376482266632192,"[126, 149]",http://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,https://t.co/0gOi601EAa,pic.twitter.com/0gOi601EAa,https://twitter.com/dog_rates/status/879376492567855104/photo/1,photo,150,150,crop,1200,1112,fit,680,630,fit,1600,1482,fit,879376492567855104
60,,[],,,879050744279834628,879050744279834628,"[133, 156]",http://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,https://t.co/2mJCDEJWdD,pic.twitter.com/2mJCDEJWdD,https://twitter.com/dog_rates/status/879050749262655488/photo/1,photo,150,150,crop,674,1200,fit,382,680,fit,899,1600,fit,879050749262655488
61,,[],,,879008224678207491,879008224678207491,"[95, 118]",http://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,https://t.co/YDtpCjIPKN,pic.twitter.com/YDtpCjIPKN,https://twitter.com/dog_rates/status/879008229531029506/photo/1,photo,150,150,crop,899,1155,fit,529,680,fit,899,1155,fit,879008229531029506
62,PrideMonthPuppo; PrideMonth,[],,,878776084946448384,878776084946448384,"[127, 150]",http://pbs.twimg.com/media/DDIKMXxXcAAbmdp.jpg,https://pbs.twimg.com/media/DDIKMXxXcAAbmdp.jpg,https://t.co/lNZwgNO4gS,pic.twitter.com/lNZwgNO4gS,https://twitter.com/dog_rates/status/878776093423087618/photo/1,photo,150,150,crop,900,1200,fit,510,680,fit,1536,2048,fit,878776093423087618
63,,[],,https://www.gofundme.com/3yd6y1c,878281503754510336,878281503754510336,"[141, 164]",http://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,https://t.co/lUiQH219v6,pic.twitter.com/lUiQH219v6,https://twitter.com/dog_rates/status/878281511006478336/photo/1,photo,150,150,crop,750,502,fit,680,455,fit,750,502,fit,878281511006478336
64,,[],,,878057599261745152,878057599261745152,"[116, 139]",http://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,https://t.co/cwtWnHMVpe,pic.twitter.com/cwtWnHMVpe,https://twitter.com/dog_rates/status/878057613040115712/photo/1,photo,150,150,crop,1200,837,fit,680,474,fit,1599,1115,fit,878057613040115712
65,,[],,,877736466763448320,877736466763448320,"[94, 117]",http://pbs.twimg.com/media/DC5YqoPXgAA7Uph.jpg,https://pbs.twimg.com/media/DC5YqoPXgAA7Uph.jpg,https://t.co/lsPyyAiF1r,pic.twitter.com/lsPyyAiF1r,https://twitter.com/dog_rates/status/877736472329191424/photo/1,photo,150,150,crop,1111,1200,fit,629,680,fit,1481,1600,fit,877736472329191424
